Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-03-22,8728.4697265625,9100.7099609375,8564.900390625,8939.4404296875,5530390016,36,Fear,1521676800,,89.86000061035156,1.51,,,-200.810546875,0.0,200.810546875,81.88357979910714,250.30719866071428,0.3271323407286359,24.649564379467265,9669.544482421876,1037.2247667117651,11743.994015845406,7595.094948998345,-2.2488995834565095
2018-03-23,8879.6201171875,8879.6201171875,8360.6201171875,8736.25,5954120192,28,Fear,1521763200,,89.44000244140625,1.51,,,151.150390625,151.150390625,-0.0,57.90150669642857,250.30719866071428,0.23132177982189298,18.786460502254172,9598.4705078125,1040.3682936952234,11679.207095202948,7517.733920422053,1.7316940467241304
2018-03-26,8209.400390625,8530.080078125,7921.43017578125,8498.4697265625,5921039872,31,Fear,1522022400,,89.02999877929688,1.51,,,-670.2197265625,0.0,670.2197265625,57.90150669642857,241.50864955357142,0.2397492048564698,19.338524591691623,9490.605517578126,1067.9936762907012,11626.592870159528,7354.618164996724,-7.547842336917254
2018-03-27,7833.0400390625,8232.7802734375,7797.27978515625,8200.0,5378250240,24,Extreme Fear,1522108800,,89.37000274658203,1.51,,,-376.3603515625,0.0,376.3603515625,57.90150669642857,210.22509765625,0.2754262328425997,21.59483831759873,9345.9775390625,1087.6233680718908,11521.224275206281,7170.730802918719,-4.584504758621555
2018-03-28,7954.47998046875,8122.89013671875,7809.169921875,7836.830078125,4935289856,24,Extreme Fear,1522195200,,90.05999755859375,1.51,,,121.43994140625,121.43994140625,-0.0,66.57578822544643,169.47077287946428,0.3928452505069905,28.20451520827575,9223.806518554688,1100.4012624502363,11424.60904345516,7023.003993654214,1.5503551724572073
2018-03-29,7165.7001953125,7994.330078125,7081.3798828125,7979.06982421875,6361229824,18,Extreme Fear,1522281600,,90.1500015258789,1.51,,,-788.77978515625,0.0,788.77978515625,66.57578822544643,221.70790318080358,0.3002860397410084,23.093844782092688,9034.541528320313,1113.149997328429,11260.84152297717,6808.241533663455,-9.916170347942321
2018-04-02,7083.7998046875,7135.47021484375,6816.580078125,6844.85986328125,4333440000,11,Extreme Fear,1522627200,,90.05000305175781,1.51,,,-81.900390625,0.0,81.900390625,66.57578822544643,218.09866768973214,0.3052553641462742,23.38663931451697,8834.411499023438,1084.2699053054237,11002.951309634285,6665.87168841259,-1.1429502824940374
2018-04-03,7456.10986328125,7530.93994140625,7072.490234375,7102.259765625,5499700224,22,Extreme Fear,1522713600,,90.1999969482422,1.51,,,372.31005859375,372.31005859375,-0.0,93.16936383928571,217.36505998883928,0.4286308197097985,30.00291004479851,8628.552001953125,914.44049390511,10457.432989763345,6799.671014142905,5.2557958843978625
2018-04-04,6853.83984375,7469.8798828125,6803.8798828125,7456.41015625,4936000000,22,Extreme Fear,1522800000,,90.13999938964844,1.51,,,-602.27001953125,0.0,602.27001953125,93.16936383928571,194.31005859375,0.4794881156105138,32.40905489887305,8432.248974609374,847.2380112093496,10126.724997028074,6737.772952190675,-8.077536819799569
2018-04-05,6811.47021484375,6933.81982421875,6644.7998046875,6848.64990234375,5639320064,17,Extreme Fear,1522886400,,90.45999908447266,1.51,,,-42.36962890625,0.0,42.36962890625,90.95145089285714,197.33646065848214,0.4608953185304216,31.548825756663817,8274.543969726563,840.327780555598,9955.199530837759,6593.888408615367,-0.6181881962836755
2018-04-06,6636.31982421875,6857.490234375,6575.0,6815.9599609375,3766810112,19,Extreme Fear,1522972800,,90.11000061035156,1.51,,,-175.150390625,0.0,175.150390625,88.27364676339286,209.84720284598214,0.42065677105156135,29.61002119746304,8136.60947265625,872.5244993755983,9881.658471407447,6391.560473905053,-2.5714036045156208
2018-04-09,6770.72998046875,7178.10986328125,6661.990234375,7044.31982421875,4894060032,21,Extreme Fear,1523232000,,89.83999633789062,1.51,,,134.41015625,134.41015625,-0.0,76.99574497767857,209.84720284598214,0.36691337284199965,26.84247444877481,8008.268481445312,875.3532202482629,9758.974921941837,6257.5620409487865,2.02537188999663
2018-04-10,6834.759765625,6872.41015625,6704.14990234375,6795.43994140625,4272750080,18,Extreme Fear,1523318400,,89.58999633789062,1.51,,,64.02978515625,64.02978515625,-0.0,61.367919921875,209.84720284598214,0.29244097176227857,22.627027318975152,7889.750463867187,865.1851156375845,9620.120695142356,6159.380232592018,0.9456851084145068
2018-04-11,6968.31982421875,6968.31982421875,6817.58984375,6843.47021484375,4641889792,20,Extreme Fear,1523404800,,89.56999969482422,1.51,,,133.56005859375,133.56005859375,-0.0,69.77859933035714,209.84720284598214,0.33252098852883594,24.95427774807166,7778.423974609375,830.9867090571781,9440.397392723731,6116.45055649502,1.9541295257440083
